# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
167,780.96827660844667,780.88304490513872,0.00010913593530084822,735.14532016500186,0.058674542636280504,792.0306946373596,0.014165003061269395
168,789.56835208718871,789.56835208713585,6.6953518844577323e-14,736.18517847083012,0.067610579217419933,800.52906004500653,0.013881898798050447
169,789.56835208770826,789.56835208714517,7.1316296524080273e-13,743.63295891133839,0.058177855096283281,800.65509188571025,0.014041519988342223
170,790.05562545715748,791.05218981858116,0.0012613850586115731,743.63295891135385,0.058758731727201648,801.61987791164859,0.014637263607609372
171,795.34057291253816,795.60334938203493,0.00033039490055748467,744.17554664793238,0.064330964629704973,806.63908010224964,0.014205873024101267
172,797.3550388471449,797.32262187296578,4.0655633437751738e-05,745.6488058145145,0.064847189161041499,808.78775794115427,0.014338304189485476
173,801.28903484025932,801.57709097535906,0.0003594909234682865,745.64880581451587,0.069438400635091171,812.81600008362182,0.014385527246932128
174,806.80447815753757,806.72601722843342,9.7249000505464462e-05,746.01569365390526,0.0753451253052696,818.50609650108231,0.01450366062700493
175,807.72584162439694,807.76162484476777,4.4301195438873833e-05,749.61112341111595,0.071948568707926874,819.3471371447439,0.01438767329391823
176,807.93928413642584,807.9369488361616,2.8904402967994542e-06,755.22364491361714,0.065247030634429853,819.61084451011061,0.014446085990434338
177,809.30756088933686,809.30756088932412,1.5733111168304122e-14,761.6324067407262,0.058908573764244944,821.04256104981016,0.014500050076855672
178,809.30756088971953,809.30756088933356,4.7690993228899327e-13,762.69415585647994,0.057596650872746971,821.22082316678916,0.014720315060411252
179,824.87429252780805,825.09899539789274,0.0002724086228897828,766.16389470618947,0.071174963692591187,837.47161868623289,0.01527181325995822
180,826.69388771424872,826.62949065748785,7.7897100387328363e-05,770.0566983696192,0.068510473086026341,839.26681254618745,0.015208682462503747
181,833.46984851825107,833.57903164016966,0.0001309982863959592,773.08673772284794,0.072447864674112294,846.46114144012017,0.015586998071934002
182,837.26597567226031,837.08324743193441,0.00021824395787632927,773.08673772286056,0.076653345309856583,850.03080113575527,0.015245842819834859
183,838.91637409244481,838.91637409256089,1.3836213584380354e-13,788.089714966923,0.060586085449228513,851.61659111368419,0.015138835542432595
184,838.91637409251257,838.91637409258362,8.4697683547865062e-14,788.26407151592196,0.0603782500149471,851.77902878742782,0.015332463511430763
185,838.91637409260375,838.91637409259488,1.0570270906772411e-14,794.05221599339518,0.053478701196808726,852.0770898604228,0.015687756460891669
186,838.9163740926316,838.91637409260443,3.2388394188699006e-14,799.46416774614806,0.047027579345026937,852.26153294590551,0.015907615187160915
187,855.91532039625588,856.66748494854608,0.00087878384037099963,801.34480258962219,0.063756912052198855,869.82207135594467,0.016247811703207396
188,860.60670088627512,860.50951229288671,0.00011293032379171838,801.3448025896289,0.068860605240020537,874.71052216589317,0.016388230843535804
189,875.05799637984603,874.97881275771101,9.0489570362885293e-05,817.02480589325398,0.066319250525882792,889.96447257513557,0.017034843698312912
190,875.21978454961516,875.22109503183071,1.497317860830425e-06,817.73288231143965,0.065682818479426919,890.31907431259663,0.017251997760484254
191,878.39479169688707,878.39479169694687,6.8077904385167759e-14,819.24364954744533,0.067340041981775983,892.95911138932775,0.01658060797959111
192,878.39479169690708,878.3947916969563,5.6041316727712873e-14,819.28177592566237,0.06729663737765175,893.35418155747834,0.017030371766745458
193,880.90387638908612,881.02456721924784,0.0001370079453577209,821.76464210042991,0.067134719092250911,895.53916733454935,0.016613947716355569
194,888.26439609764816,888.26439609804538,4.4718871176691769e-13,821.7646421004315,0.074864819854725151,903.8958961687697,0.017597800992355819
195,888.26439609805959,888.26439609805038,1.0366996466257458e-14,830.70444629555288,0.064800469382037915,904.14657498022996,0.017880012924009012
196,892.1179910934602,892.05667947764186,6.8725904454848151e-05,830.70444629555959,0.068840159497990439,907.84314370177162,0.017626763236819443
197,900.09897316674301,900.09801245339702,1.0673418975354053e-06,839.50700971711603,0.067317000969850382,915.88654265967568,0.01753981502432848
198,900.12104296444693,900.12496171891496,4.3535861078480272e-06,845.04792257691201,0.061184127199335123,915.99674686201217,0.017637298918465907
199,903.44577891417816,904.46085884240483,0.0011235648579228077,845.14379259516807,0.064532911304407595,920.08802575951893,0.018420858488422554
200,919.04485401225008,919.08368640179219,4.2252986209082784e-05,847.28550188570148,0.078080358987127424,935.66099745775193,0.018079795967477739
201,919.62748708473805,919.5957107041952,3.4553534979238019e-05,852.39999595203392,0.07310295970580262,936.39261246535739,0.018230343933896068
202,923.30050337917942,923.19690737095868,0.0001122018322762565,858.33209013148223,0.070365404340103632,940.29410015312806,0.018405271860844789
